==========> Fault Simulation Begins at                    0 
Test Vector number           0 is:  110110111110111111010000010000000010 
Detected fault : s@1  SerialFS_TB.FUT._452_.B
Detected fault : s@1  SerialFS_TB.FUT._453_.Y
Detected fault : s@1  SerialFS_TB.FUT._456_.A
Detected fault : s@1  SerialFS_TB.FUT._470_.Y
Detected fault : s@0  SerialFS_TB.FUT._472_.B
Detected fault : s@0  SerialFS_TB.FUT._473_.Y
Detected fault : s@1  SerialFS_TB.FUT._475_.Y
Detected fault : s@1  SerialFS_TB.FUT._477_.Y
Detected fault : s@0  SerialFS_TB.FUT._478_.Y
Detected fault : s@1  SerialFS_TB.FUT._479_.Y
Detected fault : s@1  SerialFS_TB.FUT._481_.Y
Detected fault : s@0  SerialFS_TB.FUT._481_.B
Detected fault : s@0  SerialFS_TB.FUT._482_.B
Detected fault : s@0  SerialFS_TB.FUT._483_.Y
Detected fault : s@1  SerialFS_TB.FUT._484_.Y
Detected fault : s@0  SerialFS_TB.FUT._484_.A
Detected fault : s@0  SerialFS_TB.FUT._490_.Y
Detected fault : s@1  SerialFS_TB.FUT._490_.B
Detected fault : s@1  SerialFS_TB.FUT._494_.Y
Detected fault : s@1  SerialFS_TB.FUT._500_.A
Detected fault : s@0  SerialFS_TB.FUT._503_.B
Detected fault : s@1  SerialFS_TB.FUT._505_.Y
Detected fault : s@0  SerialFS_TB.FUT._514_.Y
Detected fault : s@1  SerialFS_TB.FUT._517_.Y
Detected fault : s@0  SerialFS_TB.FUT._529_.A
Detected fault : s@0  SerialFS_TB.FUT._533_.Y
Detected fault : s@1  SerialFS_TB.FUT._553_.B
Detected fault : s@1  SerialFS_TB.FUT._554_.Y
Detected fault : s@0  SerialFS_TB.FUT._555_.Y
Detected fault : s@1  SerialFS_TB.FUT._559_.Y
Detected fault : s@0  SerialFS_TB.FUT._567_.Y
Detected fault : s@1  SerialFS_TB.FUT._568_.Y
Detected fault : s@0  SerialFS_TB.FUT._569_.Y
Detected fault : s@1  SerialFS_TB.FUT._569_.A
Detected fault : s@0  SerialFS_TB.FUT._574_.Y
Detected fault : s@1  SerialFS_TB.FUT._579_.Y
Detected fault : s@0  SerialFS_TB.FUT._584_.Y
Detected fault : s@1  SerialFS_TB.FUT._585_.Y
Detected fault : s@1  SerialFS_TB.FUT._586_.A
Detected fault : s@0  SerialFS_TB.FUT._601_.B
Detected fault : s@0  SerialFS_TB.FUT._602_.Y
Detected fault : s@1  SerialFS_TB.FUT._616_.A
Detected fault : s@1  SerialFS_TB.FUT._617_.Y
Detected fault : s@1  SerialFS_TB.FUT._618_.A
Detected fault : s@0  SerialFS_TB.FUT._625_.A
Detected fault : s@0  SerialFS_TB.FUT._630_.A
Detected fault : s@0  SerialFS_TB.FUT._640_.A
